ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.8011862534162936,0.8587067242789752,0.6829740187949144,0.5209782837866329,0.591077622293984,0.47027074591925233
Decision Tree,0.8269465604465895,0.8797526997177993,0.7138707334785767,0.6217583807716635,0.6646382691007438,0.5511481109224354
kNN,0.7906030121532825,0.8177295144846931,0.6774394033561218,0.4596247100990934,0.5476698907172466,0.4311801318363041
Naive Bayes (Gaussian),0.5197999651101937,0.7105267857992343,0.3544272343245258,0.9021716213367067,0.5089200761179828,0.27003875018302204
Random Forest (Ensemble),0.8345641681688667,0.9020007712294379,0.8016528925619835,0.5317309719586759,0.6393712764608949,0.5567477502634981
Gradient Boosting (Ensemble),0.8477641449089958,0.9156566499950686,0.7484217909749825,0.6748893105629349,0.7097560975609756,0.6084434310277497
